date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-14 16:32:40,Linksfraktion,,16,22,75,"Die #Corona-Krise reißt 100-Milliarden-Euro-Loch in die Finanzen von Bund, Ländern und Gemeinden. @LoetzschMdB fordert eine Vermögensabgabe auf sehr große Vermögen. Ganzes Statement: https://www.youtube.com/watch?v=u14q3NpU_II",,@LoetzschMdB,#Corona,1260971300388044805,https://twitter.com/Linksfraktion/status/1260971300388044805
2020-05-14 13:45:01,AfDimBundestag,,30,150,456,"+++BMI-Leak: Diffamierungen gegen Mitarbeiter und Demonstranten!+++ Innenpolitischer Sprecher der #AfD-Fraktion im #Bundestag @GottfriedCurio zum #BMI-Leak und den #Corona-Einschränkungen durch die Regierung. ",,@GottfriedCurio,#AfD #Bundestag #BMI #Corona,1260929109229629442,https://twitter.com/AfDimBundestag/status/1260929109229629442
2020-05-14 13:15:32,Linksfraktion,,2,5,18,"Statt immer nur Autogipfel: DIE LINKE fordert einen #Kindergipfel im #Kanzleramt. Für die gesellschaftliche Teilhabe von Kindern in Zeiten der #Corona-Pandemie. Dafür warb @Norbert_MdB in seiner heutigen Rede im Bundestag. https://www.youtube.com/watch?v=R6roobKguXg #Kinderrechte",,@Norbert_MdB,#Kindergipfel #Kanzleramt #Corona #Kinderrechte,1260921689434722304,https://twitter.com/Linksfraktion/status/1260921689434722304
2020-05-14 13:07:48,Linksfraktion,,0,2,7,"Sabine Zimmermann: #Kinderarmut ist immer die Armut der Eltern, noch verschärft durch die #Corona-Pandemie. Damit die #Bundesregierung die #Familien nicht vergisst, fordert DIE #LINKE. einen #Kindergipfel",,,#Kinderarmut #Corona #Bundesregierung #Familien #LINKE #Kindergipfel,1260919743185399808,https://twitter.com/Linksfraktion/status/1260919743185399808
2020-05-14 11:07:39,AfDimBundestag,,7,17,64,"""Die Ursachen der Eurokrise gab es schon lange vor #Corona!"", @PeterBoehringer, Vorsitzender im Haushaltsausschuss. #AfD #Bundestag #coronavirusdeutschland",,@PeterBoehringer,#Corona #AfD #Bundestag #coronavirusdeutschland,1260889506863026183,https://twitter.com/AfDimBundestag/status/1260889506863026183
2020-05-14 10:36:41,Linksfraktion,,6,19,85,"Erneut versäumen #CDU und #SPD den Ärmsten in der #krise beizustehen. @katjakipping hingegen macht Druck für einen #Corona Aufschlag auf alle Sozialleistungen und für eine Erhöhung des Kurzarbeitergeldes auf 90% ",,@katjakipping,#CDU #SPD #krise #Corona,1260881714982858752,https://twitter.com/Linksfraktion/status/1260881714982858752
2020-05-14 09:25:48,AfDimBundestag,,21,18,45,"Aufgrund von #Corona droht ein Steuereinnahmedefizit von 100 Mrd Euro für 2020. Die gesetzlichen Krankenkassen rechnen mit Mindereinnahmen über 14 Mrd Euro. Dazu @Witt_Uwe: ""Krankenkassen droht Milliardenloch durch #COVID19!"" #AfD #Bundestag #Coronakrise",,@Witt_Uwe,#Corona #COVID19 #AfD #Bundestag #Coronakrise,1260863876360527872,https://twitter.com/AfDimBundestag/status/1260863876360527872
2020-05-14 08:38:21,AfDimBundestag,,12,29,89,"Aus dem #BMI wurde ein umfassender Bericht einschließlich Anlagen, der Einschätzung zu den Maßnahmen in Bezug zur #Corona-Krise veröffentlicht. Dazu Detlev Spangenberg: ""#Merkel ignorant geg. wissenschaftlicher Ausarbeitung!"" #coronavirusdeutschland #AfD",,,#BMI #Corona #Merkel #coronavirusdeutschland #AfD,1260851933390217216,https://twitter.com/AfDimBundestag/status/1260851933390217216
2020-05-13 18:03:14,AfDimBundestag,,66,131,533,"Keine neuen Steuern und Abgaben wegen Corona? Wir werden Sie dran erinnern, Frau Bundeskanzlerin! @Tino_Chrupalla #Merkel #AfD #Bundestag",,@Tino_Chrupalla,#Merkel #AfD #Bundestag,1260631706744369158,https://twitter.com/AfDimBundestag/status/1260631706744369158
2020-05-13 13:18:18,AfDimBundestag,,4,44,119,"Die geplante Rentenerhöhung soll nach Ansicht des Finanzwissenschaftlers Raffelhüschen wegen der #Corona-Krise gestoppt werden. Dazu @ulschzi: ""Rentner für Fehlentscheidungen der #Bundesregierung nicht verantwortlich – #Rentenerhöhung muss kommen!"" #AfD",,@ulschzi,#Corona #Bundesregierung #Rentenerh #AfD,1260559998410805249,https://twitter.com/AfDimBundestag/status/1260559998410805249
